pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid	PPI
2ybr	D	E	0	F	protein		beta-mammal toxin cn2	IMMUNE SYSTEM/TOXIN	03/09/11	Crystal structure of the human derived single chain antibody fragment  (scFv) 9004G in complex with Cn2 toxin from the scorpion Centruroides  noxius Hoffmann	HOMO SAPIENS; CENTRUROIDES NOXIUS HOFFMANN	homo sapiens	homo sapiens	centruroides noxius hoffmann	Canul-Tec, J.C., Riano-Umbarila, L., Rudino-Pinera, E., Becerril, B., Possani, L.D., Torres-Larios, A.	2.55	X-RAY DIFFRACTION	0.24673	0.19183	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None	2YBR_DE_F
2ybr	A	B	0	C	protein		beta-mammal toxin cn2	IMMUNE SYSTEM/TOXIN	03/09/11	Crystal structure of the human derived single chain antibody fragment  (scFv) 9004G in complex with Cn2 toxin from the scorpion Centruroides  noxius Hoffmann	HOMO SAPIENS; CENTRUROIDES NOXIUS HOFFMANN	homo sapiens	homo sapiens	centruroides noxius hoffmann	Canul-Tec, J.C., Riano-Umbarila, L., Rudino-Pinera, E., Becerril, B., Possani, L.D., Torres-Larios, A.	2.55	X-RAY DIFFRACTION	0.24673	0.19183	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None	2YBR_AB_C
2adf	H	L	0	A	protein		von willebrand factor	BLOOD CLOTTING/IMMUNE SYSTEM	07/20/05	Crystal Structure and Paratope Determination of 82D6A3, an Antithrombotic Antibody Directed Against the von Willebrand factor A3-Domain	HOMO SAPIENS; MUS MUSCULUS	mus musculus	mus musculus	homo sapiens	Staelens, S., Hadders, M.A., Vauterin, S., Platteau, C., Vanhoorelbeke, K., Huizinga, E.G., Deckmyn, H.	1.9	X-RAY DIFFRACTION	0.220	0.191	False	False	IGHV9	IGKV19	Kappa	None	None	None	None	None	2ADF_HL_A
6pds	B	A	0	C	peptide		hiv-1 fusion peptide residue 512-519	IMMUNE SYSTEM	06/19/19	Vaccine-elicited NHP FP-targeting antibody 0PV-a.04 in complex with HIV fusion peptide (residue 512-519)	MACACA MULATTA; SYNTHETIC CONSTRUCT	macaca mulatta	macaca mulatta	human immunodeficiency virus 1	Xu, K., Liu, K., Wang, Y., Kwong, P.D.	1.893	X-RAY DIFFRACTION	0.220	0.193	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None	6PDS_BA_C
6pds	H	L	0	G	peptide		hiv-1 fusion peptide residue 512-519	IMMUNE SYSTEM	06/19/19	Vaccine-elicited NHP FP-targeting antibody 0PV-a.04 in complex with HIV fusion peptide (residue 512-519)	MACACA MULATTA; SYNTHETIC CONSTRUCT	macaca mulatta	macaca mulatta	human immunodeficiency virus 1	Xu, K., Liu, K., Wang, Y., Kwong, P.D.	1.893	X-RAY DIFFRACTION	0.220	0.193	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None	6PDS_HL_G
5dyo	H	L	0	A	Hapten	FDS	FLUORESCIN	IMMUNE SYSTEM	09/25/15	Fab43.1 complex with flourescein	MUS MUSCULUS	mus musculus	mus musculus	mus musculus	Longenecker, K.L., Judge, R.A.	2.36	X-RAY DIFFRACTION	0.239	0.193	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None	5DYO_HL_A
5dyo	A	B	0	H	Hapten	FDS	FLUORESCIN	IMMUNE SYSTEM	09/25/15	Fab43.1 complex with flourescein	MUS MUSCULUS	mus musculus	mus musculus	mus musculus	Longenecker, K.L., Judge, R.A.	2.36	X-RAY DIFFRACTION	0.239	0.193	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None	5DYO_AB_H
1cu4	H	L	0	P	peptide		recognition peptide	IMMUNE SYSTEM	08/20/99	CRYSTAL STRUCTURE OF THE ANTI-PRION FAB 3F4 IN COMPLEX WITH ITS PEPTIDE EPITOPE	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus		Kanyo, Z.F., Pan, K.M., Williamson, R.A., Burton, D.R., Prusiner, S.B., Fletterick, R.J., Cohen, F.E.	2.9	X-RAY DIFFRACTION	0.268	0.159	False	False	IGHV14	IGKV1	Kappa	None	None	None	None	None	1CU4_HL_P
5whk	H	L	0	AB	protein | protein	NA | NA	igg receptor fcrn large subunit p51 | beta-2-microglobulin	IMMUNE SYSTEM	07/17/17	Crystal structure of Fab fragment of antibody DX-2507 bound to FcRn-B2M	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens | homo sapiens	Edwards, T.E., Clifton, M.C., Nixon, A.E., Kenniston, J.A.	2.5	X-RAY DIFFRACTION	0.225	0.16899999999999998	False	True	IGHV3	IGLV2	Lambda	None	None	None	None	None	5WHK_HL_AB
7nx9	A	B	0	E	protein		spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	04/07/21	Crystal structure of the N501Y mutant receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with COVOX-222 and EY6A Fabs	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhou, D., Ren, J., Stuart, D.	2.4	X-RAY DIFFRACTION	0.229	0.2	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None	7NX9_AB_E
7nx9	H	L	0	E	protein		spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	04/07/21	Crystal structure of the N501Y mutant receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with COVOX-222 and EY6A Fabs	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhou, D., Ren, J., Stuart, D.	2.4	X-RAY DIFFRACTION	0.229	0.2	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None	7NX9_HL_E
1yuh	H	L	0	H	Hapten	 NP	4-HYDROXY-3-NITROPHENYLACETYL-EPSILON-AMINOCAPROIC ACID	IMMUNOGLOBULIN	01/30/96	FAB FRAGMENT	MUS MUSCULUS		mus musculus		Yuhasz, S.C., Amzel, L.M., Parry, C., Strand, M.	3.0	X-RAY DIFFRACTION	unknown	0.19	False	True	IGHV1	IGLV1	Lambda	None	None	None	None	None	1YUH_HL_H
1yuh	B	A	0	B	Hapten	 NP	4-HYDROXY-3-NITROPHENYLACETYL-EPSILON-AMINOCAPROIC ACID	IMMUNOGLOBULIN	01/30/96	FAB FRAGMENT	MUS MUSCULUS		mus musculus		Yuhasz, S.C., Amzel, L.M., Parry, C., Strand, M.	3.0	X-RAY DIFFRACTION	unknown	0.19	False	True	IGHV1	IGLV1	Lambda	None	None	None	None	None	1YUH_BA_B
6xc3	B	A	0	C	protein		spike protein s1	IMMUNE SYSTEM/VIRAL PROTEIN	06/08/20	Crystal structure of SARS-CoV-2 receptor binding domain in complex with antibodies CC12.1 and CR3022	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Yuan, M., Liu, H., Wu, N.C., Zhu, X., Wilson, I.A.	2.698	X-RAY DIFFRACTION	0.225	0.177	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None	6XC3_BA_C
6xc3	H	L	0	C	protein		spike protein s1	IMMUNE SYSTEM/VIRAL PROTEIN	06/08/20	Crystal structure of SARS-CoV-2 receptor binding domain in complex with antibodies CC12.1 and CR3022	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Yuan, M., Liu, H., Wu, N.C., Zhu, X., Wilson, I.A.	2.698	X-RAY DIFFRACTION	0.225	0.177	False	True	IGHV5	IGKV4	Kappa	None	None	None	None	None	6XC3_HL_C
6ion	H	L	0	A	protein		ly6/plaur domain-containing protein 3	IMMUNE SYSTEM	10/30/18	The complex of C4.4A with its antibody 11H10 Fab fragment	HOMO SAPIENS; MUS MUSCULUS	mus musculus	mus musculus	homo sapiens	Huang, M.D., Jiang, Y.B., Yuan, C., Lin, L.	2.75	X-RAY DIFFRACTION	0.255	0.19699999999999998	False	False	IGHV8	IGKV5	Kappa	None	None	None	None	None	6ION_HL_A
5l9d	H	L	0	L	carbohydrate	NAG	N-ACETYL-D-GLUCOSAMINE	IMMUNE SYSTEM	06/10/16	AFAMIN ANTIBODY FRAGMENT, N14 FAB, L1- GLYCOSYLATED, CRYSTAL FORM I, parsimonious model	MUS MUSCULUS	mus musculus	mus musculus	mus musculus	Rupp, B., Naschberger, A.	1.88	X-RAY DIFFRACTION	0.215	0.17600000000000002	False	False	IGHV1	IGKV4	Kappa	None	None	None	None	None	5L9D_HL_L
5ngv	H	L	0	A	protein		activin receptor type-2b	TRANSFERASE	03/20/17	CRYSTAL STRUCTURE OF THE Activin receptor type-2B LIGAND BINDING DOMAIN IN COMPLEX WITH BIMAGRUMAB FV, ORTHORHOMBIC CRYSTAL FORM	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	RONDEAU, J.-M., LEHMANN, S.	2.0	X-RAY DIFFRACTION	0.198	0.177	False	True	IGHV1	IGLV2	Lambda	None	None	None	None	None	5NGV_HL_A
4lsu	H	L	0	G	protein		hiv-1 clade a/e strain 93th057 gp120	viral protein/immune system	07/23/13	Crystal structure of broadly and potently neutralizing antibody VRC-PG20 in complex with HIV-1 clade A/E 93TH057 gp120	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Zhou, T., Moquin, S., Kwong, P.D.	2.3	X-RAY DIFFRACTION	0.234	0.179	False	True	IGHV1	IGLV2	Lambda	None	None	None	None	None	4LSU_HL_G
1yqv	H	L	0	Y	protein		hen egg white lysozyme	IMMUNE SYSTEM	02/02/05	The crystal structure of the antibody Fab HyHEL5 complex with lysozyme at 1.7A resolution	MUS MUSCULUS; GALLUS GALLUS	mus musculus	mus musculus	gallus gallus	Cohen, G.H., Silverton, E.W., Padlan, E.A., Dyda, F., Wibbenmeyer, J.A., Wilson, R.C., Davies, D.R.	1.7	X-RAY DIFFRACTION	0.234	0.195	False	False	IGHV1	IGKV4	Kappa	None	None	None	None	None	1YQV_HL_Y
7kfw	C	D	0	B	protein		surface glycoprotein	IMMUNE SYSTEM/Viral protein	10/15/20	Structural basis for a germline-biased antibody response to SARS-CoV-2 (RBD:C1A-B3 Fab)	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Pan, J., Abraham, J., Clark, L., Clark, S.	2.792	X-RAY DIFFRACTION	0.229	0.18899999999999997	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None	7KFW_CD_B
7kfw	H	L	0	A	protein		surface glycoprotein	IMMUNE SYSTEM/Viral protein	10/15/20	Structural basis for a germline-biased antibody response to SARS-CoV-2 (RBD:C1A-B3 Fab)	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Pan, J., Abraham, J., Clark, L., Clark, S.	2.792	X-RAY DIFFRACTION	0.229	0.18899999999999997	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None	7KFW_HL_A
7kfw	F	G	0	E	protein		surface glycoprotein	IMMUNE SYSTEM/Viral protein	10/15/20	Structural basis for a germline-biased antibody response to SARS-CoV-2 (RBD:C1A-B3 Fab)	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Pan, J., Abraham, J., Clark, L., Clark, S.	2.792	X-RAY DIFFRACTION	0.229	0.18899999999999997	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None	7KFW_FG_E
6al0	H	L	0	A	protein		pdz tandem fragment with pa tag insertion	SIGNALING PROTEIN	09/05/18	The NZ-1 Fab complexed with the PDZ tandem fragment of A. aeolicus S2P homolog with the PA12 tag inserted between the residues 263 and 267	AQUIFEX AEOLICUS; AQUIFEX AEOLICUS (STRAIN VF5); RATTUS NORVEGICUS	rattus norvegicus	rattus norvegicus	aquifex aeolicus, aquifex aeolicus (strainvf5) 	Tamura, R., Oi, R., Kaneko, M.K., Kato, Y., Nogi, T.	2.6	X-RAY DIFFRACTION	0.251	0.19899999999999998	False	True	IGHV5	IGLV3	Lambda	None	None	None	None	None	6AL0_HL_A
3ngb	B	C	0	A	protein		envelope glycoprotein gp160	VIRAL PROTEIN/IMMUNE SYSTEM	06/11/10	Crystal structure of broadly and potently neutralizing antibody VRC01 in complex with HIV-1 gp120	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Zhou, T., Kwong, P.D.	2.68	X-RAY DIFFRACTION	0.256	0.19699999999999998	False	True	IGHV1	IGKV3	Kappa	7.70E-09	-10.88	SPR	20	20616231	3NGB_BC_A
3ngb	J	K	0	I	protein		envelope glycoprotein gp160	VIRAL PROTEIN/IMMUNE SYSTEM	06/11/10	Crystal structure of broadly and potently neutralizing antibody VRC01 in complex with HIV-1 gp120	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Zhou, T., Kwong, P.D.	2.68	X-RAY DIFFRACTION	0.256	0.19699999999999998	False	True	IGHV1	IGKV3	Kappa	7.70E-09	-10.88	SPR	20	20616231	3NGB_JK_I
3ngb	E	F	0	D	protein		envelope glycoprotein gp160	VIRAL PROTEIN/IMMUNE SYSTEM	06/11/10	Crystal structure of broadly and potently neutralizing antibody VRC01 in complex with HIV-1 gp120	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Zhou, T., Kwong, P.D.	2.68	X-RAY DIFFRACTION	0.256	0.19699999999999998	False	True	IGHV1	IGKV3	Kappa	7.70E-09	-10.88	SPR	20	20616231	3NGB_EF_D
3ngb	H	L	0	G	protein		envelope glycoprotein gp160	VIRAL PROTEIN/IMMUNE SYSTEM	06/11/10	Crystal structure of broadly and potently neutralizing antibody VRC01 in complex with HIV-1 gp120	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Zhou, T., Kwong, P.D.	2.68	X-RAY DIFFRACTION	0.256	0.19699999999999998	False	True	IGHV1	IGKV3	Kappa	7.70E-09	-10.88	SPR	20	20616231	3NGB_HL_G
1kcr	H	L	0	P	peptide		ps1 peptide	IMMUNE SYSTEM	11/11/01	CRYSTAL STRUCTURE OF ANTIBODY PC283 IN COMPLEX WITH PS1 PEPTIDE	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus		Nair, D.T., Singh, K., Sahu, N., Rao, K.V.S., Salunke, D.M.	2.9	X-RAY DIFFRACTION	0.277	0.184	False	False	IGHV3	IGKV6	Kappa	None	None	None	None	None	1KCR_HL_P
6dfj	H	L	0	E	protein		dengue 1 envelope diii domain	IMMUNE SYSTEM	05/14/18	Crystal structure of anti-Zika antibody Z021 bound to DENV-1 envelope protein DIII	HOMO SAPIENS; DENGUE VIRUS 1	homo sapiens	homo sapiens	dengue virus 1	Keeffe, J.R., Bjorkman, P.J.	2.07	X-RAY DIFFRACTION	0.232	0.184	False	True	IGHV4	IGKV3	Kappa	None	None	None	None	None	6DFJ_HL_E
4wfe	G	F	0	B	protein		potassium channel subfamily k member 4	METAL TRANSPORT	09/15/14	Human TRAAK K+ channel in a K+ bound conductive conformation	HOMO SAPIENS; MUS MUSCULUS	mus musculus	mus musculus	homo sapiens	Brohawn, S.G., MacKinnon, R.	2.5	X-RAY DIFFRACTION	0.234	0.19899999999999998	False	True	IGHV1	IGKV4	Kappa	None	None	None	None	None	4WFE_GF_B
4wfe	E	D	0	A	protein		potassium channel subfamily k member 4	METAL TRANSPORT	09/15/14	Human TRAAK K+ channel in a K+ bound conductive conformation	HOMO SAPIENS; MUS MUSCULUS	mus musculus	mus musculus	homo sapiens	Brohawn, S.G., MacKinnon, R.	2.5	X-RAY DIFFRACTION	0.234	0.19899999999999998	False	True	IGHV1	IGKV4	Kappa	None	None	None	None	None	4WFE_ED_A
3d85	B	A	0	C	protein		interleukin-23 subunit p19	IMMUNE SYSTEM/CYTOKINE	05/22/08	Crystal structure of IL-23 in complex with neutralizing FAB	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Beyer, B.M., Ingram, R., Ramanathan, L., Reichert, P., Le, H., Madison, V.	1.9	X-RAY DIFFRACTION	0.214	0.171	False	False	IGHV1	IGKV5	Kappa	None	None	None	None	None	3D85_BA_C
4aei	H	L	0	A	protein		alpha-mammal toxin aah2	IMMUNE SYSTEM/TOXIN	01/10/12	Crystal structure of the AaHII-Fab4C1 complex	ANDROCTONUS AUSTRALIS HECTOR; MUS MUSCULUS	mus musculus	mus musculus	androctonus australis hector	Fabrichny, I.P., Mondielli, G., Conrod, S., Martin-Eauclaire, M.F., Bourne, Y., Marchot, P.	2.3	X-RAY DIFFRACTION	0.25403	0.19862	False	False	IGHV5	IGKV1	Kappa	None	None	None	None	None	4AEI_HL_A
4aei	I	M	0	B	protein		alpha-mammal toxin aah2	IMMUNE SYSTEM/TOXIN	01/10/12	Crystal structure of the AaHII-Fab4C1 complex	ANDROCTONUS AUSTRALIS HECTOR; MUS MUSCULUS	mus musculus	mus musculus	androctonus australis hector	Fabrichny, I.P., Mondielli, G., Conrod, S., Martin-Eauclaire, M.F., Bourne, Y., Marchot, P.	2.3	X-RAY DIFFRACTION	0.25403	0.19862	False	False	IGHV5	IGKV1	Kappa	None	None	None	None	None	4AEI_IM_B
4aei	J	N	0	C	protein		alpha-mammal toxin aah2	IMMUNE SYSTEM/TOXIN	01/10/12	Crystal structure of the AaHII-Fab4C1 complex	ANDROCTONUS AUSTRALIS HECTOR; MUS MUSCULUS	mus musculus	mus musculus	androctonus australis hector	Fabrichny, I.P., Mondielli, G., Conrod, S., Martin-Eauclaire, M.F., Bourne, Y., Marchot, P.	2.3	X-RAY DIFFRACTION	0.25403	0.19862	False	False	IGHV5	IGKV1	Kappa	None	None	None	None	None	4AEI_JN_C
6c9u	H	L	0	A	protein		6-deoxyerythronolide-b synthase erya2, modules 3 and 4	TRANSFERASE/immune system	01/28/18	Crystal structure of [KS3][AT3] didomain from module 3 of 6-deoxyerthronolide B synthase in complex with antibody fragment (Fab)	SACCHAROPOLYSPORA ERYTHRAEA; HOMO SAPIENS	homo sapiens	homo sapiens	saccharopolyspora erythraea	Deis, L.N., Li, X., Mathews, I.I., Khosla, C.	2.09	X-RAY DIFFRACTION	0.210	0.166	False	True	IGHV3	IGKV2	Kappa	None	None	None	None	None	6C9U_HL_A
6j14	A	B	0	G	protein		programmed cell death protein 1	IMMUNE SYSTEM	12/27/18	Complex structure of GY-14 and PD-1	MUS MUSCULUS; HOMO SAPIENS	mus musculus	mus musculus	homo sapiens	Chen, D., Tan, S., Whang, H., Zhang, H., Chai, Y., Qi, J., Yan, J., Gao, G.F.	1.4	X-RAY DIFFRACTION	0.215	0.188	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None	6J14_AB_G
6vgr	C	D	0	A	protein		dipeptidase 3	HYDROLASE	01/08/20	Crystal Structure of Human Dipeptidase 3 in Complex with Fab of SC-003	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Hayashi, K., Longenecker, K.L., Vivona, S.	2.84	X-RAY DIFFRACTION	0.248	0.19	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None	6VGR_CD_A
6vgr	H	L	0	B	protein		dipeptidase 3	HYDROLASE	01/08/20	Crystal Structure of Human Dipeptidase 3 in Complex with Fab of SC-003	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Hayashi, K., Longenecker, K.L., Vivona, S.	2.84	X-RAY DIFFRACTION	0.248	0.19	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None	6VGR_HL_B
1frg	H	L	0	P	peptide		influenza hemagglutinin ha1 (strain x47)(residues 101 - 108) 	VIRAL PROTEIN/IMMUNE SYSTEM	01/17/94	CRYSTAL STRUCTURE, SEQUENCE, AND EPITOPE MAPPING OF A PEPTIDE COMPLEX OF AN ANTI-INFLUENZA HA PEPTIDE ANTIBODY FAB 26(SLASH)9: FINE-TUNING ANTIBODY SPECIFICITY	MUS MUSCULUS		mus musculus		Churchill, M.E.A., Wilson, I.A.	2.8	X-RAY DIFFRACTION	unknown	0.19	False	True	IGHV5	IGKV8	Kappa	None	None	None	None	None	1FRG_HL_P
6o9i	D	E	0	C	protein		ecd	IMMUNE SYSTEM	03/13/19	Ternary complex of mouse ECD with Fab1 and Fab2	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Min, X., Wang, Z.	2.6	X-RAY DIFFRACTION	0.252	0.196	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None	6O9I_DE_C
6o9i	A	B	0	C	protein		ecd	IMMUNE SYSTEM	03/13/19	Ternary complex of mouse ECD with Fab1 and Fab2	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Min, X., Wang, Z.	2.6	X-RAY DIFFRACTION	0.252	0.196	False	True	IGHV5	IGKV8	Kappa	None	None	None	None	None	6O9I_AB_C
