pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
2ybr	A	B	0	C	protein	NA	beta-mammal toxin cn2	IMMUNE SYSTEM/TOXIN	03/09/11	Crystal structure of the human derived single chain antibody fragment  (scFv) 9004G in complex with Cn2 toxin from the scorpion Centruroides  noxius Hoffmann	HOMO SAPIENS; CENTRUROIDES NOXIUS HOFFMANN	homo sapiens	homo sapiens	centruroides noxius hoffmann	Canul-Tec, J.C., Riano-Umbarila, L., Rudino-Pinera, E., Becerril, B., Possani, L.D., Torres-Larios, A.	2.55	X-RAY DIFFRACTION	0.24673	0.19183	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
2adf	H	L	0	A	protein	NA	von willebrand factor	BLOOD CLOTTING/IMMUNE SYSTEM	07/20/05	Crystal Structure and Paratope Determination of 82D6A3, an Antithrombotic Antibody Directed Against the von Willebrand factor A3-Domain	HOMO SAPIENS; MUS MUSCULUS	mus musculus	mus musculus	homo sapiens	Staelens, S., Hadders, M.A., Vauterin, S., Platteau, C., Vanhoorelbeke, K., Huizinga, E.G., Deckmyn, H.	1.9	X-RAY DIFFRACTION	0.220	0.191	False	False	IGHV9	IGKV19	Kappa	None	None	None	None	None
6c6x	E	F	0	NA	NA	NA	NA	IMMUNE SYSTEM	01/19/18	Crystal structure of Middle-East Respiratory Syndrome (MERS) coronavirus neutralizing antibody JC57-14 isolated from a vaccinated rhesus macaque.	MACACA MULATTA	macaca mulatta	macaca mulatta		Joyce, M.G., Mascola, J.R., Graham, B.S., Kwong, P.D.	1.99	X-RAY DIFFRACTION	0.208	0.176	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
6c6x	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	01/19/18	Crystal structure of Middle-East Respiratory Syndrome (MERS) coronavirus neutralizing antibody JC57-14 isolated from a vaccinated rhesus macaque.	MACACA MULATTA	macaca mulatta	macaca mulatta		Joyce, M.G., Mascola, J.R., Graham, B.S., Kwong, P.D.	1.99	X-RAY DIFFRACTION	0.208	0.176	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
6c6x	A	B	0	NA	NA	NA	NA	IMMUNE SYSTEM	01/19/18	Crystal structure of Middle-East Respiratory Syndrome (MERS) coronavirus neutralizing antibody JC57-14 isolated from a vaccinated rhesus macaque.	MACACA MULATTA	macaca mulatta	macaca mulatta		Joyce, M.G., Mascola, J.R., Graham, B.S., Kwong, P.D.	1.99	X-RAY DIFFRACTION	0.208	0.176	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
6c6x	C	D	0	NA	NA	NA	NA	IMMUNE SYSTEM	01/19/18	Crystal structure of Middle-East Respiratory Syndrome (MERS) coronavirus neutralizing antibody JC57-14 isolated from a vaccinated rhesus macaque.	MACACA MULATTA	macaca mulatta	macaca mulatta		Joyce, M.G., Mascola, J.R., Graham, B.S., Kwong, P.D.	1.99	X-RAY DIFFRACTION	0.208	0.176	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
4fze	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	07/06/12	Crystal structure of N26_i1 Fab, an ADCC mediating anti-HIV-1 antibody.	HOMO SAPIENS	homo sapiens	homo sapiens		Tolbert, W.D., Wu, X., Pazgier, M.	1.999	X-RAY DIFFRACTION	0.245	0.186	False	True	IGHV1	IGLV3	Lambda	None	None	None	None	None
6pds	B	A	0	C	peptide	NA	hiv-1 fusion peptide residue 512-519	IMMUNE SYSTEM	06/19/19	Vaccine-elicited NHP FP-targeting antibody 0PV-a.04 in complex with HIV fusion peptide (residue 512-519)	MACACA MULATTA; SYNTHETIC CONSTRUCT	macaca mulatta	macaca mulatta	human immunodeficiency virus 1	Xu, K., Liu, K., Wang, Y., Kwong, P.D.	1.893	X-RAY DIFFRACTION	0.220	0.193	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
6pds	H	L	0	G	peptide	NA	hiv-1 fusion peptide residue 512-519	IMMUNE SYSTEM	06/19/19	Vaccine-elicited NHP FP-targeting antibody 0PV-a.04 in complex with HIV fusion peptide (residue 512-519)	MACACA MULATTA; SYNTHETIC CONSTRUCT	macaca mulatta	macaca mulatta	human immunodeficiency virus 1	Xu, K., Liu, K., Wang, Y., Kwong, P.D.	1.893	X-RAY DIFFRACTION	0.220	0.193	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
5dyo	H	L	0	A	Hapten	FDS	FLUORESCIN	IMMUNE SYSTEM	09/25/15	Fab43.1 complex with flourescein	MUS MUSCULUS	mus musculus	mus musculus	mus musculus	Longenecker, K.L., Judge, R.A.	2.36	X-RAY DIFFRACTION	0.239	0.193	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
5dyo	A	B	0	H	Hapten	FDS	FLUORESCIN	IMMUNE SYSTEM	09/25/15	Fab43.1 complex with flourescein	MUS MUSCULUS	mus musculus	mus musculus	mus musculus	Longenecker, K.L., Judge, R.A.	2.36	X-RAY DIFFRACTION	0.239	0.193	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
1cu4	H	L	0	P	peptide	NA	recognition peptide	IMMUNE SYSTEM	08/20/99	CRYSTAL STRUCTURE OF THE ANTI-PRION FAB 3F4 IN COMPLEX WITH ITS PEPTIDE EPITOPE	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus		Kanyo, Z.F., Pan, K.M., Williamson, R.A., Burton, D.R., Prusiner, S.B., Fletterick, R.J., Cohen, F.E.	2.9	X-RAY DIFFRACTION	0.268	0.159	False	False	IGHV14	IGKV1	Kappa	None	None	None	None	None
4uik	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	03/30/15	crystal structure of quinine-dependent Fab 314.1	MUS MUSCULUS	mus musculus	mus musculus		Zhu, J., Zhu, J., Bougie, D.W., Aster, R.H., Springer, T.A.	2.0	X-RAY DIFFRACTION	0.2185	0.1877	False	False	IGHV1	IGKV10	Kappa	None	None	None	None	None
5whk	H	L	0	A | B	protein | protein	NA | NA	igg receptor fcrn large subunit p51 | beta-2-microglobulin	IMMUNE SYSTEM	07/17/17	Crystal structure of Fab fragment of antibody DX-2507 bound to FcRn-B2M	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens | homo sapiens	Edwards, T.E., Clifton, M.C., Nixon, A.E., Kenniston, J.A.	2.5	X-RAY DIFFRACTION	0.225	0.169	False	True	IGHV3	IGLV2	Lambda	None	None	None	None	None
4ocy	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	01/09/14	Fab for methotrexate (unbound apo)	MUS MUSCULUS	mus musculus	mus musculus		Longenecker, K.L., Judge, R.A., Gayda, S., Manoj, S., Saldana, S., Ruan, Q., Swift, K., Tetin, S.	2.79	X-RAY DIFFRACTION	0.206	0.182	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7nx9	A	B	0	E	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	04/07/21	Crystal structure of the N501Y mutant receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with COVOX-222 and EY6A Fabs	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhou, D., Ren, J., Stuart, D.	2.4	X-RAY DIFFRACTION	0.229	0.200	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
7nx9	H	L	0	E	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	04/07/21	Crystal structure of the N501Y mutant receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with COVOX-222 and EY6A Fabs	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhou, D., Ren, J., Stuart, D.	2.4	X-RAY DIFFRACTION	0.229	0.200	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
1yuh	H	L	0	H	Hapten	 NP	4-HYDROXY-3-NITROPHENYLACETYL-EPSILON-AMINOCAPROIC ACID	IMMUNOGLOBULIN	01/30/96	FAB FRAGMENT	MUS MUSCULUS		mus musculus		Yuhasz, S.C., Amzel, L.M., Parry, C., Strand, M.	3.0	X-RAY DIFFRACTION	unknown	0.190	False	True	IGHV1	IGLV1	Lambda	None	None	None	None	None
1yuh	B	A	0	B	Hapten	 NP	4-HYDROXY-3-NITROPHENYLACETYL-EPSILON-AMINOCAPROIC ACID	IMMUNOGLOBULIN	01/30/96	FAB FRAGMENT	MUS MUSCULUS		mus musculus		Yuhasz, S.C., Amzel, L.M., Parry, C., Strand, M.	3.0	X-RAY DIFFRACTION	unknown	0.190	False	True	IGHV1	IGLV1	Lambda	None	None	None	None	None
4otx	H	L	0	NA	NA	NA	NA	immune system	02/14/14	Structure of the anti-Francisella tularensis O-antigen antibody N203 Fab fragment	MUS MUSCULUS	mus musculus	mus musculus		Lu, Z., Rynkiewicz, M.J., Yang, C.-Y., Madico, G., Perkins, H.M., Roche, M.I., Seaton, B.A., Sharon, J.	2.1	X-RAY DIFFRACTION	0.228	0.193	False	False	IGHV1	IGKV8	Kappa	None	None	None	None	None
4otx	I	M	0	NA	NA	NA	NA	immune system	02/14/14	Structure of the anti-Francisella tularensis O-antigen antibody N203 Fab fragment	MUS MUSCULUS	mus musculus	mus musculus		Lu, Z., Rynkiewicz, M.J., Yang, C.-Y., Madico, G., Perkins, H.M., Roche, M.I., Seaton, B.A., Sharon, J.	2.1	X-RAY DIFFRACTION	0.228	0.193	False	False	IGHV1	IGKV8	Kappa	None	None	None	None	None
6xc3	B	A	0	C	protein	NA	spike protein s1	IMMUNE SYSTEM/VIRAL PROTEIN	06/08/20	Crystal structure of SARS-CoV-2 receptor binding domain in complex with antibodies CC12.1 and CR3022	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Yuan, M., Liu, H., Wu, N.C., Zhu, X., Wilson, I.A.	2.698	X-RAY DIFFRACTION	0.225	0.177	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
6xc3	H	L	0	C	protein	NA	spike protein s1	IMMUNE SYSTEM/VIRAL PROTEIN	06/08/20	Crystal structure of SARS-CoV-2 receptor binding domain in complex with antibodies CC12.1 and CR3022	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Yuan, M., Liu, H., Wu, N.C., Zhu, X., Wilson, I.A.	2.698	X-RAY DIFFRACTION	0.225	0.177	False	True	IGHV5	IGKV4	Kappa	None	None	None	None	None
6ion	H	L	0	A	protein	NA	ly6/plaur domain-containing protein 3	IMMUNE SYSTEM	10/30/18	The complex of C4.4A with its antibody 11H10 Fab fragment	HOMO SAPIENS; MUS MUSCULUS	mus musculus	mus musculus	homo sapiens	Huang, M.D., Jiang, Y.B., Yuan, C., Lin, L.	2.75	X-RAY DIFFRACTION	0.255	0.197	False	False	IGHV8	IGKV5	Kappa	None	None	None	None	None
5l9d	H	L	0	L	carbohydrate	NAG	N-ACETYL-D-GLUCOSAMINE	IMMUNE SYSTEM	06/10/16	AFAMIN ANTIBODY FRAGMENT, N14 FAB, L1- GLYCOSYLATED, CRYSTAL FORM I, parsimonious model	MUS MUSCULUS	mus musculus	mus musculus	mus musculus	Rupp, B., Naschberger, A.	1.88	X-RAY DIFFRACTION	0.215	0.176	False	False	IGHV1	IGKV4	Kappa	None	None	None	None	None
5ngv	H	L	0	A	protein	NA	activin receptor type-2b	TRANSFERASE	03/20/17	CRYSTAL STRUCTURE OF THE Activin receptor type-2B LIGAND BINDING DOMAIN IN COMPLEX WITH BIMAGRUMAB FV, ORTHORHOMBIC CRYSTAL FORM	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	RONDEAU, J.-M., LEHMANN, S.	2.0	X-RAY DIFFRACTION	0.198	0.177	False	True	IGHV1	IGLV2	Lambda	None	None	None	None	None
3mnv	D	C	0	NA	NA	NA	NA	IMMUNE SYSTEM	04/22/10	Crystal structure of the non-neutralizing HIV antibody 13H11 Fab fragment	MUS MUSCULUS,HOMO SAPIENS	mus musculus,homo sapiens	mus musculus,homo sapiens		Nicely, N.I., Dennison, S.M., Kelsoe, G., Liao, H.-X., Alam, S.M., Haynes, B.F.	2.4	X-RAY DIFFRACTION	0.228	0.181	False	True	IGHV9	IGKV8	Kappa	None	None	None	None	None
3mnv	B	A	0	NA	NA	NA	NA	IMMUNE SYSTEM	04/22/10	Crystal structure of the non-neutralizing HIV antibody 13H11 Fab fragment	MUS MUSCULUS,HOMO SAPIENS	mus musculus,homo sapiens	mus musculus,homo sapiens		Nicely, N.I., Dennison, S.M., Kelsoe, G., Liao, H.-X., Alam, S.M., Haynes, B.F.	2.4	X-RAY DIFFRACTION	0.228	0.181	False	True	IGHV9	IGKV8	Kappa	None	None	None	None	None
4lsu	H	L	0	G	protein	NA	hiv-1 clade a/e strain 93th057 gp120	viral protein/immune system	07/23/13	Crystal structure of broadly and potently neutralizing antibody VRC-PG20 in complex with HIV-1 clade A/E 93TH057 gp120	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Zhou, T., Moquin, S., Kwong, P.D.	2.3	X-RAY DIFFRACTION	0.234	0.179	False	True	IGHV1	IGLV2	Lambda	None	None	None	None	None
1yqv	H	L	0	Y	protein	NA	hen egg white lysozyme	IMMUNE SYSTEM	02/02/05	The crystal structure of the antibody Fab HyHEL5 complex with lysozyme at 1.7A resolution	MUS MUSCULUS; GALLUS GALLUS	mus musculus	mus musculus	gallus gallus	Cohen, G.H., Silverton, E.W., Padlan, E.A., Dyda, F., Wibbenmeyer, J.A., Wilson, R.C., Davies, D.R.	1.7	X-RAY DIFFRACTION	0.234	0.195	False	False	IGHV1	IGKV4	Kappa	None	None	None	None	None
7kfw	C	D	0	B	protein	NA	surface glycoprotein	IMMUNE SYSTEM/Viral protein	10/15/20	Structural basis for a germline-biased antibody response to SARS-CoV-2 (RBD:C1A-B3 Fab)	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Pan, J., Abraham, J., Clark, L., Clark, S.	2.792	X-RAY DIFFRACTION	0.229	0.189	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7kfw	H	L	0	A	protein	NA	surface glycoprotein	IMMUNE SYSTEM/Viral protein	10/15/20	Structural basis for a germline-biased antibody response to SARS-CoV-2 (RBD:C1A-B3 Fab)	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Pan, J., Abraham, J., Clark, L., Clark, S.	2.792	X-RAY DIFFRACTION	0.229	0.189	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7kfw	F	G	0	E	protein	NA	surface glycoprotein	IMMUNE SYSTEM/Viral protein	10/15/20	Structural basis for a germline-biased antibody response to SARS-CoV-2 (RBD:C1A-B3 Fab)	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Pan, J., Abraham, J., Clark, L., Clark, S.	2.792	X-RAY DIFFRACTION	0.229	0.189	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7lsb	B	D	0	NA	NA	NA	NA	ANTITUMOR PROTEIN,IMMUNE SYSTEM	02/24/21	Structure of B1, a monoclonal VEGFR2 antibody parental of KD035	HOMO SAPIENS	homo sapiens	homo sapiens		Depetris, R.S.	2.492	X-RAY DIFFRACTION	0.254	0.184	False	True	IGHV3	IGLV3	Lambda	None	None	None	None	None
1x9q	A	A	0	NA	NA	NA	NA	IMMUNE SYSTEM	08/24/04	4m5.3 anti-fluorescein single chain antibody fragment (scFv)	HOMO SAPIENS		homo sapiens		Midelfort, K.S., Hernandez, H.H., Lippow, S.M., Tidor, B., Drennan, C.L., Wittrop, K.D.	1.5	X-RAY DIFFRACTION	0.193	0.165	True	True	unknown	unknown	unknown	None	None	None	None	None
6al0	H	L	0	A	protein	NA	pdz tandem fragment with pa tag insertion	SIGNALING PROTEIN	09/05/18	The NZ-1 Fab complexed with the PDZ tandem fragment of A. aeolicus S2P homolog with the PA12 tag inserted between the residues 263 and 267	AQUIFEX AEOLICUS; AQUIFEX AEOLICUS (STRAIN VF5); RATTUS NORVEGICUS	rattus norvegicus	rattus norvegicus	aquifex aeolicus, aquifex aeolicus (strainvf5) 	Tamura, R., Oi, R., Kaneko, M.K., Kato, Y., Nogi, T.	2.6	X-RAY DIFFRACTION	0.251	0.199	False	True	IGHV5	IGLV3	Lambda	None	None	None	None	None
3ngb	B	C	0	A	protein	NA	envelope glycoprotein gp160	VIRAL PROTEIN/IMMUNE SYSTEM	06/11/10	Crystal structure of broadly and potently neutralizing antibody VRC01 in complex with HIV-1 gp120	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Zhou, T., Kwong, P.D.	2.68	X-RAY DIFFRACTION	0.256	0.197	False	True	IGHV1	IGKV3	Kappa	7.70E-09	-10.88	SPR	20	20616231
3ngb	J	K	0	I	protein	NA	envelope glycoprotein gp160	VIRAL PROTEIN/IMMUNE SYSTEM	06/11/10	Crystal structure of broadly and potently neutralizing antibody VRC01 in complex with HIV-1 gp120	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Zhou, T., Kwong, P.D.	2.68	X-RAY DIFFRACTION	0.256	0.197	False	True	IGHV1	IGKV3	Kappa	7.70E-09	-10.88	SPR	20	20616231
3ngb	E	F	0	D	protein	NA	envelope glycoprotein gp160	VIRAL PROTEIN/IMMUNE SYSTEM	06/11/10	Crystal structure of broadly and potently neutralizing antibody VRC01 in complex with HIV-1 gp120	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Zhou, T., Kwong, P.D.	2.68	X-RAY DIFFRACTION	0.256	0.197	False	True	IGHV1	IGKV3	Kappa	7.70E-09	-10.88	SPR	20	20616231
3ngb	H	L	0	G	protein	NA	envelope glycoprotein gp160	VIRAL PROTEIN/IMMUNE SYSTEM	06/11/10	Crystal structure of broadly and potently neutralizing antibody VRC01 in complex with HIV-1 gp120	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Zhou, T., Kwong, P.D.	2.68	X-RAY DIFFRACTION	0.256	0.197	False	True	IGHV1	IGKV3	Kappa	7.70E-09	-10.88	SPR	20	20616231
1kcr	H	L	0	P	peptide	NA	ps1 peptide	IMMUNE SYSTEM	11/11/01	CRYSTAL STRUCTURE OF ANTIBODY PC283 IN COMPLEX WITH PS1 PEPTIDE	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus		Nair, D.T., Singh, K., Sahu, N., Rao, K.V.S., Salunke, D.M.	2.9	X-RAY DIFFRACTION	0.277	0.184	False	False	IGHV3	IGKV6	Kappa	None	None	None	None	None
6dfj	H	L	0	E	protein	NA	dengue 1 envelope diii domain	IMMUNE SYSTEM	05/14/18	Crystal structure of anti-Zika antibody Z021 bound to DENV-1 envelope protein DIII	HOMO SAPIENS; DENGUE VIRUS 1	homo sapiens	homo sapiens	dengue virus 1	Keeffe, J.R., Bjorkman, P.J.	2.07	X-RAY DIFFRACTION	0.232	0.184	False	True	IGHV4	IGKV3	Kappa	None	None	None	None	None
4wfe	G	F	0	B	protein	NA	potassium channel subfamily k member 4	METAL TRANSPORT	09/15/14	Human TRAAK K+ channel in a K+ bound conductive conformation	HOMO SAPIENS; MUS MUSCULUS	mus musculus	mus musculus	homo sapiens	Brohawn, S.G., MacKinnon, R.	2.5	X-RAY DIFFRACTION	0.234	0.199	False	True	IGHV1	IGKV4	Kappa	None	None	None	None	None
